                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44723,                0.60196,                0.28358,                0.86276,                0.99074,                0.99748,                0.99413,                0.95898,                0.99074,                0.99748,                0.99413,                0.94237,                0.30918,                0.40672,                0.24128,                 0.7579,              0.0033328,              0.0033328,              0.0033328
                      2,                0.40991,                0.49111,                0.24495,                 0.8457,                0.99242,                0.99657,                0.99436,                0.96165,                0.99242,                0.99657,                0.99436,                0.94363,                0.29429,                0.38863,                0.23911,                0.75258,              0.0066442,              0.0066442,              0.0066442
                      3,                0.43472,                0.51839,                 0.2693,                0.85131,                 0.9941,                0.99329,                0.99429,                0.95822,                 0.9941,                0.99329,                0.99429,                0.94241,                0.30874,                0.39476,                0.21862,                0.75762,              0.0099335,              0.0099335,              0.0099335
                      4,                0.46933,                0.55606,                0.29687,                0.85904,                0.99155,                0.99685,                0.99425,                0.96075,                0.99155,                0.99685,                0.99425,                0.94369,                0.30102,                0.39126,                0.28991,                0.75476,               0.009901,               0.009901,               0.009901
                      5,                 0.4644,                0.54317,                0.29644,                0.85767,                 0.9923,                0.99795,                0.99435,                0.96487,                 0.9923,                0.99795,                0.99435,                 0.9477,                 0.2925,                0.37945,                0.25719,                0.75374,               0.009901,               0.009901,               0.009901
                      6,                0.45772,                0.53634,                 0.2922,                0.85498,                0.99317,                0.99635,                0.99422,                0.96951,                0.99317,                0.99635,                0.99422,                0.95473,                0.28358,                0.37115,                0.23234,                0.75208,               0.009868,               0.009868,               0.009868
                      7,                0.45583,                0.53143,                0.29247,                 0.8548,                0.99235,                0.99685,                0.99434,                0.96869,                0.99235,                0.99685,                0.99434,                0.95258,                0.27608,                0.36437,                0.23522,                0.74901,               0.009835,               0.009835,               0.009835
                      8,                0.45094,                0.52481,                0.28962,                0.85333,                0.99316,                0.99589,                0.99434,                0.97048,                0.99316,                0.99589,                0.99434,                0.95567,                0.27377,                0.35988,                0.24115,                0.74871,               0.009802,               0.009802,               0.009802
                      9,                0.44995,                0.51952,                0.28841,                0.85384,                0.99337,                0.99626,                0.99435,                0.97385,                0.99337,                0.99626,                0.99435,                0.95904,                0.26801,                0.35818,                0.23587,                0.74675,               0.009769,               0.009769,               0.009769
                     10,                 0.4447,                0.51509,                0.28458,                0.85168,                0.99282,                0.99753,                 0.9944,                0.97426,                0.99282,                0.99753,                 0.9944,                0.95988,                0.26422,                0.35024,                0.23606,                0.74648,               0.009736,               0.009736,               0.009736
                     11,                0.44196,                0.51098,                0.28434,                0.85079,                0.99254,                0.99733,                 0.9944,                 0.9744,                0.99254,                0.99733,                 0.9944,                0.95945,                0.26297,                0.34815,                0.24557,                 0.7463,               0.009703,               0.009703,               0.009703
                     12,                0.43885,                0.50613,                 0.2827,                0.85096,                0.99317,                0.99623,                 0.9944,                0.97553,                0.99317,                0.99623,                 0.9944,                0.96126,                0.26108,                0.34466,                 0.2435,                0.74566,                0.00967,                0.00967,                0.00967
                     13,                0.43688,                0.50631,                0.28154,                0.85034,                0.99337,                0.99671,                 0.9944,                0.97604,                0.99337,                0.99671,                 0.9944,                0.96155,                0.25924,                0.34239,                0.24114,                0.74549,               0.009637,               0.009637,               0.009637
                     14,                0.43694,                0.50779,                0.28089,                0.85119,                0.99233,                0.99753,                0.99436,                0.97594,                0.99233,                0.99753,                0.99436,                0.96136,                 0.2575,                  0.341,                0.24058,                0.74506,               0.009604,               0.009604,               0.009604
                     15,                0.43288,                0.49531,                0.27871,                0.84866,                 0.9921,                0.99753,                0.99433,                0.97609,                 0.9921,                0.99753,                0.99433,                0.96154,                0.25631,                0.33988,                0.24334,                0.74485,               0.009571,               0.009571,               0.009571
                     16,                0.43159,                0.49119,                0.27888,                0.84901,                0.99276,                0.99715,                0.99433,                0.97659,                0.99276,                0.99715,                0.99433,                0.96248,                0.25468,                0.33832,                0.24041,                0.74446,               0.009538,               0.009538,               0.009538
                     17,                0.43102,                0.49373,                0.27782,                0.84908,                0.99318,                0.99698,                0.99436,                 0.9769,                0.99318,                0.99698,                0.99436,                0.96272,                0.25388,                0.33777,                0.23836,                0.74421,               0.009505,               0.009505,               0.009505
                     18,                0.43067,                0.49401,                0.27715,                  0.848,                0.99248,                 0.9976,                0.99436,                0.97702,                0.99248,                 0.9976,                0.99436,                0.96284,                0.25297,                0.33707,                0.23922,                0.74392,               0.009472,               0.009472,               0.009472
                     19,                0.42628,                 0.4908,                0.27539,                0.84775,                0.99264,                0.99733,                0.99436,                0.97725,                0.99264,                0.99733,                0.99436,                0.96284,                0.25221,                0.33647,                0.23849,                0.74376,               0.009439,               0.009439,               0.009439
                     20,                0.42489,                0.48665,                0.27471,                0.84669,                0.99279,                0.99726,                 0.9943,                0.97743,                0.99279,                0.99726,                 0.9943,                0.96312,                0.25146,                0.33582,                 0.2371,                0.74374,               0.009406,               0.009406,               0.009406
                     21,                0.42435,                0.48837,                0.27353,                0.84671,                0.99317,                0.99709,                0.99434,                0.97754,                0.99317,                0.99709,                0.99434,                0.96329,                0.25104,                0.33528,                0.23675,                0.74373,               0.009373,               0.009373,               0.009373
                     22,                0.42472,                0.48409,                 0.2745,                 0.8482,                0.99301,                0.99712,                0.99433,                0.97752,                0.99301,                0.99712,                0.99433,                0.96322,                0.25075,                0.33474,                 0.2361,                0.74367,                0.00934,                0.00934,                0.00934
                     23,                0.42383,                0.48492,                0.27353,                0.84662,                0.99236,                0.99753,                0.99433,                0.97768,                0.99236,                0.99753,                0.99433,                0.96357,                0.25042,                0.33454,                0.23676,                0.74358,               0.009307,               0.009307,               0.009307
                     24,                0.42254,                0.48604,                0.27345,                0.84565,                0.99209,                0.99768,                0.99434,                0.97785,                0.99209,                0.99768,                0.99434,                0.96375,                0.24996,                0.33413,                0.23752,                0.74346,               0.009274,               0.009274,               0.009274
                     25,                0.42222,                0.48406,                 0.2736,                0.84659,                0.99195,                0.99774,                0.99433,                0.97798,                0.99195,                0.99774,                0.99433,                0.96378,                0.24946,                0.33363,                0.23819,                0.74333,               0.009241,               0.009241,               0.009241
                     26,                0.42297,                0.47992,                0.27291,                0.84658,                0.99191,                0.99774,                0.99431,                0.97791,                0.99191,                0.99774,                0.99431,                0.96374,                0.24925,                0.33334,                0.23834,                0.74319,               0.009208,               0.009208,               0.009208
                     27,                0.41987,                0.48119,                0.27089,                0.84654,                0.99178,                0.99787,                0.99432,                0.97803,                0.99178,                0.99787,                0.99432,                0.96402,                0.24893,                0.33298,                0.23921,                0.74311,               0.009175,               0.009175,               0.009175
                     28,                0.42058,                0.47868,                 0.2722,                 0.8466,                0.99189,                 0.9978,                0.99432,                0.97792,                0.99189,                 0.9978,                0.99432,                0.96407,                0.24886,                0.33274,                0.24012,                0.74312,               0.009142,               0.009142,               0.009142
                     29,                0.41868,                0.47903,                0.26969,                0.84632,                0.99187,                0.99774,                0.99432,                0.97794,                0.99187,                0.99774,                0.99432,                0.96418,                0.24866,                0.33258,                0.24168,                0.74308,               0.009109,               0.009109,               0.009109
                     30,                0.41803,                 0.4795,                0.26946,                0.84515,                0.99222,                0.99727,                0.99432,                0.97805,                0.99222,                0.99727,                0.99432,                0.96429,                 0.2484,                0.33239,                0.24169,                0.74308,               0.009076,               0.009076,               0.009076
                     31,                0.41878,                0.48056,                0.27141,                0.84515,                0.99216,                0.99754,                0.99431,                0.97807,                0.99216,                0.99754,                0.99431,                0.96425,                0.24858,                 0.3323,                0.24099,                0.74309,               0.009043,               0.009043,               0.009043
                     32,                0.41469,                0.47588,                0.26723,                0.84514,                0.99245,                0.99753,                 0.9943,                0.97803,                0.99245,                0.99753,                 0.9943,                0.96428,                0.24855,                0.33203,                0.24068,                0.74311,                0.00901,                0.00901,                0.00901
                     33,                 0.4151,                0.47593,                0.26896,                0.84532,                0.99262,                0.99746,                0.99431,                0.97797,                0.99262,                0.99746,                0.99431,                0.96427,                0.24839,                0.33177,                0.24037,                0.74312,               0.008977,               0.008977,               0.008977
                     34,                0.41584,                0.47637,                 0.2685,                0.84609,                0.99278,                0.99719,                 0.9943,                0.97821,                0.99278,                0.99719,                 0.9943,                0.96441,                0.24816,                0.33135,                0.24042,                0.74312,               0.008944,               0.008944,               0.008944
                     35,                0.41216,                0.47125,                0.26809,                0.84367,                0.99278,                0.99739,                0.99429,                0.97832,                0.99278,                0.99739,                0.99429,                0.96455,                0.24801,                0.33092,                0.23876,                0.74309,               0.008911,               0.008911,               0.008911
                     36,                0.41415,                0.47355,                0.26781,                0.84532,                0.99325,                0.99719,                0.99429,                 0.9784,                0.99325,                0.99719,                0.99429,                0.96467,                0.24787,                0.33044,                0.23724,                0.74297,               0.008878,               0.008878,               0.008878
                     37,                0.41285,                0.47269,                0.26576,                0.84473,                0.99345,                0.99698,                0.99427,                0.97841,                0.99345,                0.99698,                0.99427,                0.96441,                 0.2477,                0.33009,                0.23659,                0.74288,               0.008845,               0.008845,               0.008845
                     38,                0.41216,                0.47197,                0.26515,                0.84462,                0.99345,                0.99691,                0.99427,                0.97843,                0.99345,                0.99691,                0.99427,                0.96449,                0.24763,                0.32991,                0.23536,                0.74285,               0.008812,               0.008812,               0.008812
                     39,                0.41107,                0.47124,                0.26592,                0.84332,                0.99337,                0.99705,                0.99427,                 0.9785,                0.99337,                0.99705,                0.99427,                0.96437,                0.24737,                0.32979,                0.23368,                0.74282,               0.008779,               0.008779,               0.008779
                     40,                0.41228,                0.46908,                0.26684,                0.84483,                0.99314,                0.99719,                0.99426,                0.97853,                0.99314,                0.99719,                0.99426,                0.96441,                0.24728,                0.32962,                  0.235,                0.74277,               0.008746,               0.008746,               0.008746
                     41,                0.40808,                0.46772,                0.26313,                 0.8442,                0.99304,                0.99718,                0.99426,                0.97872,                0.99304,                0.99718,                0.99426,                0.96447,                0.24699,                0.32917,                0.23384,                0.74277,               0.008713,               0.008713,               0.008713
                     42,                0.40833,                 0.4662,                0.26346,                0.84377,                0.99297,                 0.9973,                0.99427,                0.97853,                0.99297,                 0.9973,                0.99427,                0.96448,                0.24663,                0.32861,                0.23287,                0.74279,                0.00868,                0.00868,                0.00868
                     43,                0.41014,                 0.4702,                0.26477,                 0.8433,                0.99322,                0.99712,                0.99426,                0.97863,                0.99322,                0.99712,                0.99426,                0.96459,                0.24644,                0.32837,                0.23328,                 0.7428,               0.008647,               0.008647,               0.008647
                     44,                0.41025,                0.47059,                 0.2647,                0.84427,                 0.9929,                0.99712,                0.99425,                0.97875,                 0.9929,                0.99712,                0.99425,                0.96474,                0.24618,                0.32801,                0.23415,                0.74275,               0.008614,               0.008614,               0.008614
                     45,                0.40821,                0.46446,                0.26337,                0.84423,                0.99296,                0.99712,                0.99424,                0.97884,                0.99296,                0.99712,                0.99424,                0.96497,                0.24568,                0.32787,                0.23496,                0.74266,               0.008581,               0.008581,               0.008581
                     46,                0.40989,                0.46551,                 0.2634,                  0.844,                0.99283,                 0.9973,                 0.9942,                0.97881,                0.99283,                 0.9973,                 0.9942,                0.96493,                0.24531,                0.32759,                0.23507,                0.74266,               0.008548,               0.008548,               0.008548
                     47,                0.40848,                0.46375,                0.26378,                0.84453,                 0.9927,                0.99729,                0.99421,                0.97892,                 0.9927,                0.99729,                0.99421,                  0.965,                0.24524,                 0.3274,                0.23388,                0.74267,               0.008515,               0.008515,               0.008515
                     48,                0.40724,                0.46342,                0.26368,                0.84379,                0.99275,                0.99712,                0.99421,                0.97897,                0.99275,                0.99712,                0.99421,                0.96506,                0.24521,                0.32727,                0.23316,                0.74266,               0.008482,               0.008482,               0.008482
                     49,                0.40655,                0.46757,                0.26366,                0.84363,                0.99285,                0.99657,                0.99423,                0.97886,                0.99285,                0.99657,                0.99423,                0.96508,                0.24492,                0.32702,                0.23337,                0.74258,               0.008449,               0.008449,               0.008449
                     50,                0.40682,                0.46279,                0.26308,                0.84351,                0.99324,                0.99652,                0.99421,                0.97892,                0.99324,                0.99652,                0.99421,                0.96508,                0.24483,                0.32694,                0.23332,                0.74249,               0.008416,               0.008416,               0.008416
                     51,                0.40543,                0.45933,                0.26268,                0.84213,                0.99303,                0.99653,                0.99418,                  0.979,                0.99303,                0.99653,                0.99418,                0.96521,                0.24471,                0.32651,                0.23359,                0.74248,               0.008383,               0.008383,               0.008383
                     52,                0.40466,                 0.4643,                0.26267,                0.84282,                0.99324,                0.99654,                0.99421,                0.97893,                0.99324,                0.99654,                0.99421,                0.96517,                0.24483,                0.32631,                0.23339,                0.74249,                0.00835,                0.00835,                0.00835
                     53,                0.40498,                0.45685,                0.26271,                0.84292,                0.99376,                 0.9963,                0.99422,                0.97904,                0.99376,                 0.9963,                0.99422,                0.96521,                0.24477,                0.32602,                0.23182,                0.74248,               0.008317,               0.008317,               0.008317
                     54,                0.40388,                0.46176,                0.26102,                0.84341,                0.99391,                0.99603,                0.99421,                0.97906,                0.99391,                0.99603,                0.99421,                0.96516,                0.24464,                0.32595,                0.23285,                0.74249,               0.008284,               0.008284,               0.008284
                     55,                0.40359,                0.46125,                0.26069,                0.84192,                0.99391,                0.99609,                0.99416,                0.97887,                0.99391,                0.99609,                0.99416,                 0.9653,                 0.2445,                 0.3258,                 0.2332,                 0.7425,               0.008251,               0.008251,               0.008251
                     56,                0.40455,                0.46171,                0.26146,                0.84235,                0.99396,                0.99596,                 0.9942,                0.97885,                0.99396,                0.99596,                 0.9942,                 0.9652,                0.24448,                0.32563,                0.23342,                0.74248,               0.008218,               0.008218,               0.008218
                     57,                0.40501,                0.45984,                0.26094,                0.84454,                0.99396,                0.99602,                0.99419,                0.97904,                0.99396,                0.99602,                0.99419,                0.96534,                0.24441,                0.32556,                0.23495,                 0.7424,               0.008185,               0.008185,               0.008185
                     58,                0.40104,                0.45768,                0.25899,                0.84116,                0.99376,                0.99616,                0.99418,                0.97917,                0.99376,                0.99616,                0.99418,                0.96534,                0.24424,                0.32525,                0.23596,                0.74237,               0.008152,               0.008152,               0.008152
                     59,                0.40116,                0.45525,                0.25916,                 0.8419,                0.99356,                0.99637,                0.99417,                0.97918,                0.99356,                0.99637,                0.99417,                0.96562,                0.24398,                0.32512,                0.23758,                0.74233,               0.008119,               0.008119,               0.008119
                     60,                0.40258,                0.45706,                0.26058,                 0.8417,                 0.9933,                0.99646,                0.99416,                0.97925,                 0.9933,                0.99646,                0.99416,                0.96544,                0.24392,                0.32496,                 0.2394,                0.74233,               0.008086,               0.008086,               0.008086
                     61,                0.40147,                0.45415,                0.25861,                0.84227,                0.99256,                0.99686,                0.99415,                0.97931,                0.99256,                0.99686,                0.99415,                0.96534,                0.24405,                0.32494,                0.24046,                0.74235,               0.008053,               0.008053,               0.008053
                     62,                0.40198,                0.45705,                0.26011,                0.84205,                0.99279,                0.99678,                0.99417,                0.97926,                0.99279,                0.99678,                0.99417,                0.96523,                0.24407,                0.32489,                0.23993,                0.74229,                0.00802,                0.00802,                0.00802
                     63,                0.40019,                0.45448,                0.25818,                0.84306,                 0.9929,                0.99685,                0.99417,                0.97908,                 0.9929,                0.99685,                0.99417,                0.96511,                0.24372,                0.32467,                0.23946,                0.74223,               0.007987,               0.007987,               0.007987
                     64,                0.40055,                0.45707,                0.25976,                0.84119,                0.99303,                0.99662,                0.99417,                 0.9791,                0.99303,                0.99662,                0.99417,                0.96507,                0.24387,                0.32456,                 0.2392,                0.74222,               0.007954,               0.007954,               0.007954
                     65,                0.39737,                0.45328,                0.25815,                 0.8404,                0.99274,                0.99691,                0.99416,                0.97901,                0.99274,                0.99691,                0.99416,                0.96527,                0.24393,                0.32433,                   0.24,                0.74221,               0.007921,               0.007921,               0.007921
                     66,                 0.3992,                0.45373,                0.25654,                0.84176,                0.99245,                0.99705,                0.99417,                0.97903,                0.99245,                0.99705,                0.99417,                0.96539,                0.24355,                0.32367,                 0.2404,                 0.7422,               0.007888,               0.007888,               0.007888
                     67,                0.40022,                0.45323,                0.25812,                0.84274,                0.99239,                0.99705,                0.99418,                0.97897,                0.99239,                0.99705,                0.99418,                 0.9653,                0.24358,                0.32328,                0.24087,                0.74213,               0.007855,               0.007855,               0.007855
                     68,                0.39583,                0.45176,                0.25622,                0.84058,                0.99249,                0.99692,                0.99417,                0.97903,                0.99249,                0.99692,                0.99417,                0.96526,                0.24343,                0.32296,                0.24159,                0.74202,               0.007822,               0.007822,               0.007822
                     69,                0.39629,                0.45046,                0.25597,                0.84192,                0.99115,                0.99842,                0.99416,                0.97906,                0.99115,                0.99842,                0.99416,                0.96519,                 0.2434,                0.32265,                0.24197,                0.74201,               0.007789,               0.007789,               0.007789
